32, 16.25
35, 75.44
36, 73.34
37, 100.46
39, 99.70
40, 81.95
39, 84.29
39, 73.49
40, 106.61
43, 99.28
40, 83.37
41, 85.64
41, 88.74
43, 95.91
41, 84.29
41, 85.91
42, 88.46
43, 94.08
44, 106.69
42, 74.25
42, 76.41
43, 106.21
47, 102.82
42, 75.08
42, 85.67
43, 99.68
45, 104.60
42, 85.65
42, 86.62
43, 103.50
44, 95.91
42, 86.17
42, 75.58
43, 86.05
43, 94.40
47, 102.85
42, 80.36
43, 83.59
44, 97.37
47, 93.75
43, 85.36
43, 86.25
43, 99.55
45, 105.35
42, 86.07
43, 72.81
43, 95.40
44, 108.26
45, 79.95
43, 86.11
43, 91.07
44, 105.51
47, 94.72
43, 86.02
43, 86.46
44, 103.27
46, 105.64
43, 86.24
43, 74.97
43, 107.36
44, 93.83
43, 85.37
43, 86.26
43, 87.55
44, 98.86
47, 107.88
43, 76.45
43, 88.70
44, 106.19
46, 94.46
42, 86.62
43, 72.49
43, 103.54
44, 105.02
47, 105.51
42, 72.06
43, 86.68
43, 88.18
44, 106.52
47, 94.03
43, 86.72
43, 74.99
43, 108.36
44, 105.17
46, 105.57
42, 77.22
43, 86.71
43, 96.38
44, 105.90
46, 85.89
43, 86.43
43, 80.76
43, 95.36
44, 98.21
45, 80.71
43, 86.04
43, 80.98
43, 108.71
44, 103.20
46, 106.73
43, 81.38
43, 86.96
43, 99.41
44, 100.54
46, 88.19
43, 86.29
43, 84.75
43, 97.30
45, 93.97
43, 86.38
43, 84.11
43, 90.60
44, 106.20
45, 94.94
43, 86.51
43, 81.33
43, 85.80
44, 105.30
46, 105.19
43, 84.59
43, 84.56
43, 97.63
44, 98.04
46, 107.83
43, 84.03
43, 86.69
43, 102.40
44, 107.73
44, 82.65
43, 86.37
43, 80.25
43, 102.50
45, 100.15
43, 86.18
43, 84.19
43, 85.98
43, 96.86
46, 109.12
42, 84.28
43, 86.31
43, 79.72
44, 95.40
46, 96.31
43, 86.59
43, 82.69
43, 107.87
44, 104.24
47, 106.87
43, 75.04
43, 86.58
43, 100.47
44, 108.13
46, 82.39
43, 86.92
42, 71.43
42, 108.21
42, 103.82
42, 105.85
40, 70.45
40, 84.65
40, 103.53
42, 104.68
39, 72.45
39, 84.59
39, 88.20
40, 104.24
43, 97.10
39, 84.20
39, 82.64
40, 95.23
41, 107.01
42, 79.55
39, 85.39
40, 86.89
40, 106.59
42, 100.09
41, 101.21
40, 73.18
40, 85.19
41, 101.56
42, 106.74
40, 80.39
40, 85.30
41, 73.47
41, 106.75
43, 101.19
40, 85.32
41, 79.25
41, 101.49
42, 94.52
46, 107.92
41, 82.21
42, 85.83
42, 97.54
43, 106.91
46, 85.51
42, 86.37
42, 82.42
43, 95.54
44, 93.26
45, 107.96
42, 84.71
42, 86.12
43, 103.66
44, 100.71
45, 86.22
43, 86.19
43, 84.68
43, 99.90
45, 103.37
44, 74.90
43, 85.71
43, 87.50
43, 107.35
45, 100.37
43, 86.83
43, 71.53
43, 108.50
44, 103.09
46, 108.17
43, 82.24
43, 86.41
43, 77.29
44, 101.67
47, 95.57
43, 86.27
43, 83.92
43, 92.77
44, 98.64
48, 108.42
43, 84.32
43, 86.56
44, 99.03
45, 104.78
47, 86.37
43, 86.27
43, 83.34
44, 95.85
45, 94.84
45, 86.26
43, 79.11
43, 86.44
42, 105.51
44, 105.43
40, 72.77
40, 84.39
40, 89.66
41, 98.96
44, 104.65
39, 82.79
39, 84.42
40, 100.60
40, 99.99
42, 83.67
39, 84.14
39, 82.20
40, 95.19
40, 101.00
42, 74.08
39, 84.05
39, 87.31
40, 103.71
41, 92.61
39, 94.15
39, 80.02
40, 83.61
40, 99.81
42, 107.14
39, 70.87
40, 85.32
40, 80.65
41, 106.11
44, 102.35
40, 85.74
40, 72.16
41, 107.74
42, 105.19
45, 105.08
41, 76.08
41, 85.89
41, 96.88
43, 107.60
45, 103.93
41, 85.72
42, 70.73
42, 108.35
44, 103.69
45, 106.09
42, 72.25
42, 85.96
43, 100.97
44, 108.21
44, 81.39
42, 86.67
43, 75.77
43, 108.18
45, 102.92
42, 86.21
43, 73.86
43, 108.39
43, 103.35
45, 105.04
41, 83.04
41, 82.26
41, 97.46
42, 94.49
43, 106.81
40, 80.10
40, 85.67
40, 92.42
42, 108.12
40, 81.76
40, 85.18
40, 71.94
41, 106.31
44, 102.21
40, 85.74
